Country Name,Country Code,Year,"average_value_Adjusted net savings, excluding particulate emission damage (% of GNI)","average_value_Adjusted net savings, excluding particulate emission damage (current US$)",average_value_Adjusted savings: carbon dioxide damage (% of GNI),average_value_Adjusted savings: carbon dioxide damage (current US$),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Adjusted savings: consumption of fixed capital (current US$),average_value_Adjusted savings: education expenditure (% of GNI),average_value_Adjusted savings: education expenditure (current US$),average_value_Adjusted savings: energy depletion (% of GNI),average_value_Adjusted savings: energy depletion (current US$),average_value_Adjusted savings: gross savings (% of GNI),average_value_Adjusted savings: mineral depletion (% of GNI),average_value_Adjusted savings: mineral depletion (current US$),average_value_Adjusted savings: net forest depletion (% of GNI),average_value_Adjusted savings: net forest depletion (current US$),average_value_Adjusted savings: net national savings (% of GNI),average_value_Adjusted savings: net national savings (current US$),average_value_Agricultural methane emissions (% of total),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Aquaculture production (metric tons),"average_value_Bird species, threatened",average_value_Capture fisheries production (metric tons),average_value_Coal rents (% of GDP),average_value_Energy related methane emissions (% of total),"average_value_Fish species, threatened",average_value_Forest rents (% of GDP),"average_value_Mammal species, threatened",average_value_Marine protected areas (% of territorial waters),average_value_Methane emissions (% change from 1990),average_value_Methane emissions (kt of CO2 equivalent),average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent),average_value_Mineral rents (% of GDP),average_value_Natural gas rents (% of GDP),average_value_Nitrous oxide emissions (% change from 1990),average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Nitrous oxide emissions in energy sector (% of total),average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),average_value_Oil rents (% of GDP),average_value_People practicing open defecation (% of population),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),"average_value_Plant species (higher), threatened",average_value_Population living in areas where elevation is below 5 meters (% of total population),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Terrestrial and marine protected areas (% of total territorial area),average_value_Terrestrial protected areas (% of total land area),average_value_Total fisheries production (metric tons),average_value_Total natural resources rents (% of GDP),average_value_Urban population living in areas where elevation is below 5 meters (% of total population)
Israel,ISR,2013,14.62720505,41942632858,0.744189193,2133917859,13.34759764,38273435367,5.448113332,15622138093,0.144989747,415749400.1,23.46845453,0.052613984,150867443.3,0,0,10.12088465,29021029467,,,920,22251.59961,,1983,0,,,0.000160417,,,,10230,2370,0.09485776,0.230268389,,2160,,180,0.004561534,0,100.0000008,99.98356473,,,,,,24234.59961,0.329848101,
Kiribati,KIR,2013,17.79938211,54197726.61,0.54480363,1658884.448,4.732200952,14409181.84,6.1,18574022.98,0,0,16.97638669,0,0,0,0,12.24418574,37282588.08,,,0,2261,,81531,0,,,0.055213896,,,,20,0,0,0,,0,,0,0,35.33868572,72.11599867,42.38021216,,,,,,83792,0.055213896,
Nicaragua,NIC,2019,19.17241796,2311141943,1.705734925,205618067.4,6.021180116,725824042.5,4.1,494235102.9,0,0,23.46196558,0,0,0.662632576,79877141.34,17.44078547,2102402049,,,,,,,0,,,1.288859026,,,,,,0,0,,,,,0,6.825229217,81.61223828,72.96939836,,,,,,,1.288859026,
"Korea, Dem. People's Rep.",PRK,2011,,,,1102347372,,,,,,1272297413,,,183067311.6,,0,,,,,1370,509800,,219000,,,,,,,-13.07802363,18110,12960,,,-66.38199171,2440,,350,,0,96.65020598,78.75000115,,,,,,728800,,
"Korea, Dem. People's Rep.",PRK,2015,,,,883889684.7,,,,,,278915240.3,,,54953706.07,,0,,,,,1370,556750,,220000,,,,,,,,18390,13700,,,,2430,,300,,0,95.21488171,81.66581192,,,,,,776750,,
Pacific island small states,PSS,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.64585502,85.36421325,71.1741142,,,,,,,,
Trinidad and Tobago,TTO,2018,,,7.191723218,1664067786,11.13393761,2576243042,2.87,664079303.6,8.977894696,2077363783,,0,0,0,0,,,,,210,7.449999809,5,13176,0,,37,0.068708957,2,0.048908912,,1280,80,0,6.203126226,,390,,30,3.992666236,0,98.87517077,93.91521101,50,,,2.014423161,30.59281013,13183.4502,10.26450142,
Uganda,UGA,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.675956061,55.85504921,19.78963715,,,,,,,,
Kosovo,XKX,2011,,,3.637265153,249386012,12.78602857,876663245.9,,,0.237147341,16259807.07,20.66747033,0.187345711,12845200.37,,,7.881441746,540384394.1,,,,,,,2.027440338,,,0,,,,,,0.32092805,0,,,,,0,,,,,,,,,,2.348368387,
Belize,BLZ,2012,-3.39380282,-47604872.15,1.055480465,14805224.49,17.51834095,245729768.5,6.545,91806715,4.338897757,60861718.83,12.97391635,0,0,0,0,-4.544424598,-63744643.83,,,150,5879.600098,,171946,0,,,0.396137045,,,34.52133879,520,170,0,0,54.346525,160,,10,4.440270638,1.870521068,95.23855612,86.25785653,,,,,,177825.5938,4.836407683,
Algeria,DZA,2010,28.85422844,46387500355,2.11644609,3402504556,6.215040587,9991610000,4.4671956,7181687006,17.14267002,27559413466,49.98510647,0.016187171,26023305.84,0.107827736,173349259.8,43.77016386,70367103936,,,4700,1758.741943,,93464,0,,,0.137237179,,,47.2953058,48210,30550,0.15359537,2.586460975,47.00719613,8510,,3190,23.40559844,2.574999351,92.29597417,86.97813394,,0.757500587,0.154394239,,,95222.74219,26.28289197,0.603106348
Euro area,EMU,2019,11.09159615,,0.678286287,,17.86163398,,4.524936289,,0.034113209,,25.14917982,0.007416349,,0.001070133,,7.287545834,,,,,,,,0.004488982,,,0.040991532,,,,,,0.014479631,,,,,,0.01831373,0,99.90270667,99.04830751,,,,,,,0.078273875,
Gabon,GAB,2017,,,1.416343004,198085904.8,16.96426409,2372576129,3.06,427963330.3,10.30065704,1440622055,,0.045692831,6390475.788,0,0,,,,,390,45,,29000,0,,,3.215243525,,28.82717662,,1150,260,0.055789958,0.164239537,,490,,60,15.40173009,2.036995209,84.54578933,49.20330829,,,,25.1293641,22.44275606,29045,18.83700311,
Heavily indebted poor countries (HIPC),HPC,2018,10.21097081,,1.23525905,,9.659478071,,3.382281988,,1.4901792,,22.08844923,1.09179382,,1.783050271,,12.42897116,,,,288760,391084.1744,823,5508566.75,0.097386036,,1662,3.853698026,799,,,769770,243570,1.519832229,0.312136774,,415970,,56470,2.084773631,20.24908318,59.24631386,27.47172805,4055,,,14.98358334,16.65244106,5899650.922,7.867826696,
Kyrgyz Republic,KGZ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91.69930522,97.89104384,,,,,,,,
Lebanon,LBN,2019,-23.02906187,-11755745270,1.925389826,982862110.2,20.05286569,10236473477,2.1,1071996124,0,0,-3.15080635,0,0,0,0,-23.20367204,-11844879284,,,,,,,0,,,0.001200948,,,,,,0,0,,,,,0,0,92.6,99.06737938,,,,,,,0.001200948,
Liechtenstein,LIE,2013,,,0.034778341,1777376.195,18.90014777,965907865,3.062216215,156497121.7,,,,0,0,0.004737725,242125.4043,,,,,0,,,0,,,,0.005293184,,,,20,0,0,,,10,,0,,0,100,99.95,,,,,,0,0.005293184,
Nepal,NPL,2011,35.62832662,6775803898,0.867122163,164909505.7,5.164342548,982155932.9,3.291186671,625918688.7,0.003024297,575161.5678,39.28978722,0,0,0.918158262,174615563.5,34.12544467,6489985440,,,4960,30950,,21500,0.007315916,,,1.264757649,,,17.06335004,26950,7670,0,0,26.78246683,6830,,1380,0,35.70224986,85.86199121,45.22110218,,,,,,52450,1.272073565,
Middle East & North Africa (IDA & IBRD countries),TMN,2018,3.865557116,,3.99663714,,11.17112883,,4.148851381,,6.445794972,,21.49378752,0.106823682,,0.056697155,,10.32265868,,,,59060,2059396.225,181,3020662.297,0.001262901,,452,0.068974142,164,1.305631281,,366340,192960,0.322904295,1.314579411,,101050,,11230,17.41659179,1.821514121,93.36554758,89.41700146,331,,,6.018464185,7.169875392,5080058.492,19.12431254,
Andorra,AND,2019,,,,19819987.91,,314311951.2,2.44,,,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,100.0000037,100.0000037,,,,,,,0,
Bosnia and Herzegovina,BIH,2016,,,4.6233393,782994581.7,16.75174491,2837024204,,,0.030666468,5193579.166,11.30653284,0.079383123,13444082.6,0.030044587,5088259.264,-5.473789391,-927024204.1,,,1200,4563.600098,,305,0.229643396,,,0.551846979,,,,3460,790,0.279700788,0,,1210,,10,0,0,96.15126178,95.33614883,,,,1.452410142,1.45,4868.600098,1.061191162,
France,FRA,2014,7.969014169,2.32215E+11,0.363833416,10602032964,17.6455695,5.14188E+11,4.955414733,1.444E+11,0.007142107,208119561.8,21.030146,2.73311E-05,796421.9421,0,0,3.384602289,98626633790,,,32890,180799.7969,,556717,0,,,0.039114891,,,,61860,2880,0.000119283,5.49638E-05,,38300,,3710,0.009631261,0,100,98.65238469,,,,,,737516.8125,0.048920398,
"Iran, Islamic Rep.",IRN,2019,,,,27815593266,,,3.741863484,,,12233171829,,,1094046809,,0,,,,,,,,,,,,,,,,,,,,,,,,,,97.35464541,90.19770214,,,,,,,,
Least developed countries: UN classification,LDC,2014,14.23165723,,1.0563173,,9.049820897,,2.804435503,,3.71647816,,27.66311937,0.611980474,,1.801300814,,18.61329847,,,,340060,3396697.201,,8765119.516,0.036972917,,,3.840003982,,,,907870,243110,0.925905226,0.486425684,,408750,,52630,4.902767223,21.18987177,61.93444618,32.43066868,,,,,,12161816.64,10.19207503,
Malta,MLT,2013,,,0.756222921,75834717.64,14.98393292,1502602328,7.099921543,711986545.6,0,0,21.7615599,0,0,,,6.755001701,677397672.3,,,40,5266,,2356,0,,,0,,,,190,0,0,0,,60,,10,0,0,100.0000027,99.96464806,,,,,,7622,0,
North America,NAC,2014,7.583295792,,0.978183301,,15.66144391,,4.443353128,,0.275787431,,20.09922532,0.043868018,,0,,4.437781415,,,,212870,560921,,6416882,0.212296185,,,0.046974843,,,,717930,355400,0.066057898,0.007819446,,288320,,46390,0.395634734,0,99.34347519,99.73649615,,,,,,6977803,0.728783106,
South Sudan,SSD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12719512,40.95092717,15.84481734,,,,,,,,
Togo,TGO,2017,7.519014811,362788278.1,2.426343039,117069700.7,7.04132499,339740010.1,4.789053826,231069180.5,0,0,21.38992335,2.30262303,111100279.1,6.889671311,332422804.6,14.34859837,692311881.9,,,1390,132,,26915,0,,,7.123165236,,0.199648311,,3410,1150,3.245338907,0,,1760,,230,0,47.00893459,66.01351042,17.28824398,,,,21.79109259,27.62124271,27047,10.36850414,
South Africa,ZAF,2018,0.271589082,968619743.7,5.115333963,18243787424,14.3327758,51117701565,6.045343762,21560658074,1.333256659,4755046541,15.36798276,0.284443807,1014465992,0.075916785,270756453.3,1.035196532,3692018079,,,14420,7868.449707,54,611485,2.40315709,,121,0.704191972,30,12.05646212,,45140,5390,0.453697754,0.031558591,,18820,,2660,0.00558495,0.973660513,93.10863459,76.68318836,153,,,10.26064859,7.998164921,619353.4375,3.598190357,
Burundi,BDI,2019,,,0.879761355,26564741.27,14.74127609,445118648.3,5.175521639,156276918.1,0,0,,0,0,8.928513099,269599976.1,,,,,,,,,0,,,9.212709114,,,,,,0,0,,,,,0,2.59323255,62.09432063,45.74527589,,,,,,,9.212709114,
Central African Republic,CAF,2016,,,0.577361079,10668373.01,18.51591173,342133649.5,1.15,21249490.85,0,0,,0.025603749,473101.4255,0,0,,,,,9240,190,,29000,0,,,12.9935025,,,,23340,12370,0.033695425,0,,32140,,20460,0,24.87701778,41.2766431,15.58824143,,,,18.06480639,18.06,29190,13.02719792,
Central African Republic,CAF,2019,,,0.663413923,15829212.25,19.55940546,466692014.9,1.15,27439270.5,0,0,,0,0,0,0,,,,,,,,,0,,,8.349470145,,,,,,0,0,,,,,0,25.09180427,38.2122672,14.4819824,,,,,,,8.349470145,
Switzerland,CHE,2017,13.14947489,87954339159,0.190607934,1274940255,22.39318327,1.49784E+11,4.553130921,30455027633,0,0,31.18011776,0,0,0,0,8.786951906,58774251781,,,1700,1733,,1932,0,,,0.009808545,,,,4830,290,0,0,,2180,,260,0,0,100,99.89987358,,,,9.665184261,9.665184261,3665,0.009808545,
Eritrea,ERI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,2015,10.33042053,6645232540,0.740447618,476306515.7,10.79656753,6945090154,3.074455296,1977699777,0,0,29.64263039,0.086425046,55594496.67,10.76322496,6923641931,18.84606286,12123075707,,,41460,90.5,,45525,0,,,12.07819759,,,,98520,29980,0.112168491,0,,49190,,6500,0,31.57458485,42.0700672,7.488374296,,,,,,45615.5,12.19036608,
Fiji,FJI,2013,10.10356413,415074087.5,1.052761381,43249487.4,10.78758794,443175117.5,3.955066248,162481822.5,0,0,18.31621796,0.327370747,13449027.72,0,0,7.528630014,309290780.1,,,330,637,,40863,0,,,0.834955316,,,,970,200,0.515145949,0,,350,,10,0,0.17712923,94.26798782,93.43985322,,,,,,41500,1.350101264,
United Kingdom,GBR,2011,2.983433515,79671100304,0.499339476,13334611048,14.51452607,3.87603E+11,5.15,1.37528E+11,1.013178762,27056432240,13.86065499,0.000182366,4869988.576,0,0,-0.653865881,-17461161419,,,23090,198967.5938,,601385,0.036033079,,,0.006232347,,,-49.0564397,63080,9840,0.000239781,0.230048138,-54.39636659,28480,,3510,0.878101552,0,99.99999695,99.11718667,,,,,,800352.625,1.150654897,
"Gambia, The",GMB,2015,-4.910941613,-66297711.77,1.350451944,18231101.24,20.69017611,279317377.5,2.66,35910000,0,0,17,0,0,2.487027772,33574874.92,-3.733461897,-50401735.6,,,340,35,,55968,0,,,5.558881778,,,,1620,360,0,0,,390,,50,0,1.225966442,79.2101665,46.29977642,,,,,,56003,5.558881778,
Equatorial Guinea,GNQ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,2015,,,1.025388389,9051805.512,9.092093025,80262131.53,3.75,33103818.06,0,0,,0,0,,,,,,,10,1.399999976,,2707,0,,,0,,,,2000,0,0,0,,10,,0,0,3.54109589,95.62865044,91.49389213,,,,,,2708.399902,0,
Honduras,HND,2014,13.89352124,2520188090,1.763984576,319974529.5,5.842559426,1059799631,6.33,1148217960,0,0,15.86071538,0.21940778,39799044.86,0.471242357,85480084.89,10.01815595,1817223790,,,2250,61750,,8639,0,,,1.996990214,,,,7850,1060,0.263917349,0,,2910,,250,0,8.226491148,92.74751203,78.0073178,,,,,,70389,2.260907563,
Kenya,KEN,2011,3.372923432,1415343172,0.955800477,401072157.8,12.27708796,5151700883,5.032846552,2111878656,0,0,13.6,0.061532173,25820076.38,1.925418366,807942365.8,1.282827896,538299116.6,,,15660,22295,,185630,0,,,3.172730581,,,36.54577033,35930,8680,0.083040767,0,23.59666618,17260,,1130,0,12.56396154,55.37612789,31.932772,,,,,,207925,3.255771349,
Lao PDR,LAO,2012,-10.44753418,-1001187516,1.161086521,111266956.3,13.15667603,1260804661,1.407173442,134849473.4,0.088284392,8460295.947,7.304426251,4.753086935,455488464.4,0,0,-5.852249778,-560821272.8,,,2300,101895,,34106,0.232669524,,,3.417267282,,,84.40588769,7260,440,8.462846642,0,101.7020602,2520,,110,0,31.95529277,71.76251698,61.7690765,,,,,,136001,12.11278345,
Low income,LIC,2012,4.034770798,,0.802394302,,9.379250144,,2.974947621,,1.884736415,,18.45470362,1.291615568,,4.036884011,,9.075453473,,,,216810,643334.38,,2455000,0.10976696,,,7.166805423,,,35.77937585,561010,174730,1.959046073,0.440458862,27.38278402,262610,,36480,3.880836804,27.09623563,51.48194757,26.77969372,,,,,,3098334.381,13.55691412,
Low income,LIC,2017,9.189229481,,1.058235916,,8.619933719,,2.842710032,,0.40670397,,22.09563505,0.693543638,,4.97069836,,13.47570133,,,,237750,812809.3014,,2900024,0.182621817,,,8.263269544,,,,632550,206420,1.73202437,0.108828939,,293260,,45310,0.9647313,22.43571912,55.99406823,28.39022654,,,,11.65613479,12.48832974,3712833.297,11.25147597,
Liechtenstein,LIE,2016,,,0.030804359,1843916.323,16.12782911,965394763.5,3.062216215,183301018.3,,,,0,0,0.000699588,41876.57701,,,,,0,,,0,,,,0.002149171,,,,20,0,0,,,10,,0,,0,100,99.95,,,,42.48952723,42.49,0,0.002149171,
North Macedonia,MKD,2016,15.16171845,1553714058,2.471552214,253275077.8,16.4283118,1683509629,3.268428697,334935886.8,0,0,31.27643958,0.483285802,49525253.18,0,0,14.84812777,1521578502,,,490,986,,122,0,,,0.13892906,,,,2490,410,0.710173023,0,,580,,60,0,0.200587693,97.5252827,95.96583261,,,,9.652911791,9.65,1108,0.849102083,
North Macedonia,MKD,2011,6.085997246,627305201.4,2.690920894,277362707.5,19.31154553,1990509110,3.268428697,336888473.5,0.809068107,83393503.39,26.34095828,0.711855204,73373426.58,0,0,7.029412754,724546365.3,,,460,1368,,268,1.554201418,,,0.138018205,,,-16.86087867,2430,460,1.124639484,0,-36.72604087,560,,60,0,0.290824529,97.2621927,92.7572618,,,,,,1636,2.816859107,
North Macedonia,MKD,2017,15.74977023,1710305094,2.318069235,251724664.1,17.35510125,1884631816,3.268428697,354926463.6,0,0,32.92314371,0.768631686,83467547.1,0,0,15.56804245,1690570842,,,470,1508.399902,,87,0,,,0.148893405,,,,2520,410,1.117183434,0,,570,,60,0,0.182380239,97.57867135,96.61610506,,,,9.654065158,9.654065158,1595.400024,1.266076839,
Netherlands,NLD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99.99999929,97.68577085,,,,,,,,
Papua New Guinea,PNG,2019,,,1.326254405,315386901.3,7.280763229,1731385280,6.9,1640838750,5.879302731,1398114165,,0.534792914,127175208.2,0,0,,,,,,,,,0,,,1.80994452,,,,,,0.952732048,5.244329998,,,,,2.039621548,15.93365015,44.56676215,19.14928738,,,,,,,10.04662811,
Middle East & North Africa (IDA & IBRD countries),TMN,2013,,,2.870603639,,11.84277724,,3.957603532,,7.240502657,,,0.189898473,,0.067142014,,,,,,59190,1458203.881,,2730088.453,0.002142379,,,0.081444594,,,,375160,207520,0.585517184,2.089135685,,98560,,10510,21.05067368,2.732125349,91.36294522,86.74006302,,,,,,4188292.336,23.80891353,
Africa Eastern and Southern,AFE,2012,3.303948481,,2.07197767,,12.56369009,,4.798185441,,5.01434679,,20.62040421,1.113528169,,1.351098454,,8.056714123,,,,242050,181634.5307,,3816873,1.405672923,,,2.97912012,,,,534240,138540,1.634531765,0.128246659,,275740,,23990,5.454908942,22.31573505,51.92118326,27.68466543,,,,,,3998507.532,11.60248041,
Bosnia and Herzegovina,BIH,2018,,,4.519429338,909559019.7,16.04884052,3229913902,,,0.041614653,8375168.602,15.91650225,0.105524057,21237273.65,0.035373831,7119170.255,-0.148636608,-29913902.33,,,1080,3638.800049,7,305,0.310322451,,36,0.567950158,4,0,,3380,770,0.290474641,0,,1090,,10,0,0,96.13317676,95.38506184,3,,,1.395147508,1.395501571,3943.800049,1.16874725,
Central Europe and the Baltics,CEB,2019,10.19428035,,1.690481446,,15.0780657,,3.973777044,,0.159370129,,23.20432689,0.028981383,,0.026924932,,8.126261191,,,,,,,,0.096561734,,,0.233898967,,,,,,0.078207613,0.074733403,,,,,0.106725562,0,99.7971323,95.53817044,,,,,,,0.590127279,
Switzerland,CHE,2015,17.16498549,1.19281E+11,0.1784735,1240224845,21.54874206,1.49744E+11,4.478819113,31123627535,0,0,34.41338565,0,0,0,0,12.86463988,89397283021,,,1710,1593,,2023,0,,,0.010788837,,,,4900,280,0,0,,2180,,250,0,0,100,99.89544487,,,,,,3616,0.010788837,
Channel Islands,CHI,2014,,,,,,,,,,,,,0,,,,,,,,1316.75,,2983,,,,,,,,,,,,,,,,,0,94.15,98.5,,,,,,4299.75,,
Curacao,CUW,2012,,,6.037425561,186318055.9,14.3526089,442928887.3,5.018117877,154861696.8,0,0,14.63083487,0,0,,,0.278225971,8586196.476,,,,,,24995,0,,,0,,,,,,0,,,,,,,0.325661903,99.43524853,98.88445021,,,,,,24995,0,
Early-demographic dividend,EAR,2019,13.76323517,,2.713399387,,12.34660213,,3.881854658,,1.687564009,,26.94683855,0.207454179,,0.110438331,,14.60023642,,,,,,,,0.36374357,,,0.257943907,,,,,,0.327884552,0.308213496,,,,,2.983232537,10.98833239,89.78381672,71.62594592,,,,,,,4.241018063,
Spain,ESP,2011,6.303440599,91568820893,0.555033578,8062861779,15.7522287,2.28829E+11,4.45,64644260000,0.002055069,29853581.8,18.17460303,0.01178841,171247874.2,0,0,2.422317656,35188524127,,,14850,271962.875,,1011433.188,0.01592518,,,0.025009837,,,12.9693157,39220,3340,0.021487066,0.000458087,-17.08803767,18950,,2300,0.003334013,0,100,99.90394867,,,,,,1283396.125,0.066214183,
Jordan,JOR,2014,9.644052439,3513413463,2.454378422,894151731.9,7.358691279,2680836212,3.364399844,1225680572,0.014405852,5248179.224,16.31119044,0.162506775,59202653.15,0.035212796,12828332.48,8.946156441,3259163788,,,580,885,,873,0,,,0.042827522,,,,5640,330,1.126853245,0.031251832,,1190,,140,0.001677425,0.114264144,99.01953349,97.55303393,,,,,,1758,1.202610025,
Kenya,KEN,2012,2.973239444,1492566201,0.775879064,389491290.4,12.13635459,6092450004,5.223735508,2622315225,0,0,12.6,0.10763899,54034773.21,1.820264854,913772956.5,0.453286845,227549996,,,15460,21888,,165208,0,,,3.076599666,,,37.89770865,36190,9170,0.146970593,0,24.82039555,17130,,1190,0,12.10353401,56.08651459,32.02923088,,,,,,187096,3.223570259,
St. Martin (French part),MAF,2019,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99.99927139,100,,,,,,,,
