Country Name,Country Code,Year,average_value_DEC alternative conversion factor (LCU per US$),average_value_Discrepancy in expenditure estimate of GDP (current LCU),average_value_GDP (constant 2010 US$),average_value_GDP (constant LCU),average_value_GDP (current LCU),average_value_GDP (current US$),average_value_GDP deflator (base year varies by country),average_value_GDP growth (annual %),average_value_GDP per capita (constant 2010 US$),average_value_GDP per capita (constant LCU),average_value_GDP per capita (current LCU),average_value_GDP per capita (current US$),average_value_GDP per capita growth (annual %),"average_value_GDP per capita, PPP (constant 2017 international $)","average_value_GDP per capita, PPP (current international $)","average_value_GDP, PPP (constant 2017 international $)","average_value_GDP, PPP (current international $)",average_value_GDP: linked series (current LCU),average_value_GNI (constant 2010 US$),average_value_GNI (current LCU),average_value_GNI (current US$),average_value_GNI per capita (constant 2010 US$),average_value_GNI per capita (current LCU),"average_value_GNI per capita, Atlas method (current US$)","average_value_GNI per capita, PPP (constant 2017 international $)","average_value_GNI per capita, PPP (current international $)","average_value_GNI, Atlas method (current US$)","average_value_GNI, PPP (constant 2017 international $)","average_value_GNI, PPP (current international $)",average_value_GNI: linked series (current LCU),average_value_Gross domestic savings (% of GDP),average_value_Gross domestic savings (current LCU),average_value_Gross domestic savings (current US$),average_value_Gross savings (% of GDP),average_value_Gross savings (% of GNI),average_value_Gross savings (current LCU),average_value_Gross savings (current US$),average_value_Gross value added at basic prices (GVA) (constant LCU),average_value_Gross value added at basic prices (GVA) (current LCU),average_value_Gross value added at basic prices (GVA) (current US$),average_value_Net primary income (Net income from abroad) (current LCU),average_value_Net primary income (Net income from abroad) (current US$),average_value_Net secondary income (Net current transfers from abroad) (current LCU),average_value_Net secondary income (Net current transfers from abroad) (current US$),"average_value_PPP conversion factor, GDP (LCU per international $)","average_value_PPP conversion factor, private consumption (LCU per international $)",average_value_Price level ratio of PPP conversion factor (GDP) to market exchange rate,average_value_Taxes less subsidies on products (constant LCU),average_value_Taxes less subsidies on products (current LCU),average_value_Taxes less subsidies on products (current US$)
Uzbekistan,UZB,2019,8836.7875,-2.29799E+13,82758175956,1.31268E+14,5.10117E+14,57726542785,388.6068406,5.79837496,2464.482233,3909077.679,15190943.27,1719.05721,3.831610601,7014.324699,7310.960056,2.35543E+11,2.45505E+11,5.10117E+14,,5.16642E+14,58464955683,,15385259.22,1800,,7400,60278135245,,2.48645E+11,5.16642E+14,28.94480651,1.47652E+14,16708836113,39.67290904,39.17183986,2.02378E+14,22901798813,1.15528E+14,4.64855E+14,52604469622,6.5252E+12,738412898,4.82802E+13,5463544748,2077.831523,,0.235134264,1.56881E+13,4.52627E+13,5122073163
Andorra,AND,2017,0.8852,,3421211719,2580620000,2655760000,3000180750,102.9117034,0.34607189,44433.05219,33515.85127,34491.73344,38964.90448,0.734439351,,,,,2655760000,,,,,,,,,,,,,,,,,,,,,2358960000,2664889291,,,,,,,,,296800000,335291459.6
Austria,AUT,2018,0.847186371,-261740000,4.42484E+11,3.6882E+11,3.85362E+11,4.54873E+11,104.4849999,2.580120733,50051.78591,41719.2946,43590.40491,51453.14702,2.081696592,55297.61829,57050.35135,4.8886E+11,5.04355E+11,3.85362E+11,4.38475E+11,3.81856E+11,4.50734E+11,49598.26493,43193.8457,49030,54796.2613,56530,4.33467E+11,4.84427E+11,4.99767E+11,3.81856E+11,28.74653225,1.10778E+11,1.3076E+11,26.8716825,27.11838924,1.03553E+11,1.22232E+11,3.29764E+11,3.44339E+11,4.0645E+11,-3505800000,-4138168554,-3714400000,-4384395366,0.764069,0.829647,0.901890099,39058030000,41023260000,48422946118
"Bahamas, The",BHS,2013,1,51600000,10190699859,10433300000,10568400000,10568400000,101.2948923,-2.678979525,27755.32288,28416.06702,28784.02449,28784.02449,-3.628169731,35620.71356,31873.01085,13078572434,11702558409,10568400000,10155559470,10533630000,10533630000,27659.61475,28689.32515,28440,35584.0122,31770,10441127334,13065097089,11664057031,10533630000,23.80682033,2516000000,2516000000,23.50826047,23.58585787,2484447000,2484447000,9579100000,9729200000,9729200000,-34770000,-34770000,21140000,21140000,0.903084576,1.089330077,0.903084576,983600000,839200000,839200000
Switzerland,CHE,2011,0.888042028,0,6.15023E+11,6.29569E+11,6.412E+11,7.22038E+11,101.8475418,1.920445985,77729.04332,79567.37755,81037.41811,91254.03476,0.793490807,66342.01082,57987.50203,5.24924E+11,4.5882E+11,6.412E+11,6.20458E+11,6.46945E+11,7.28507E+11,78415.86792,81763.48801,82280,66913.34035,58510,6.51069E+11,5.29445E+11,4.62931E+11,6.46945E+11,36.42494322,2.33557E+11,2.63002E+11,36.18571943,35.86438577,2.32023E+11,2.61275E+11,5.91824E+11,5.98926E+11,6.74435E+11,5744953000,6469235484,,,1.397498,1.537326,1.573684528,20635259000,22331576000,25146980988
"Egypt, Arab Rep.",EGY,2014,6.97,0,2.39575E+11,3.05828E+12,2.13E+12,3.05595E+11,69.64695606,2.91591188,2649.447281,33821.31897,23555.51916,3379.557986,0.616851311,10353.6668,10895.94317,9.36227E+11,9.85262E+11,2.13E+12,2.33654E+11,2.07938E+12,2.98333E+11,2583.960278,22995.7049,3230,10099.75288,10640,2.92268E+11,9.13267E+11,9.61847E+11,2.07938E+12,5.211267606,1.11E+11,15925394548,11.8849608,12.17429181,2.5315E+11,36319894548,3.1198E+12,2.20559E+12,3.16441E+11,-50621019000,-7262700000,2.11664E+11,30367900000,2.16186142,2.153718948,0.310166631,,-75594300000,-10845667145
European Union,EUU,2016,,,1.55689E+13,,,1.38834E+13,,2.006648752,34948.00606,,,31164.59504,1.790501128,41495.98223,40574.01896,1.8486E+13,1.80752E+13,,1.55891E+13,,1.3903E+13,34993.3102,,32170.71551,41457.45382,40530.44799,1.43317E+13,1.84688E+13,1.80558E+13,,24.83713056,,3.51866E+12,24.04377454,24.29506858,,,,,1.24276E+13,,,,,,,,,,
Latin America & Caribbean,LCN,2019,,,6.21599E+12,,,5.78673E+12,,0.951874195,9615.860665,,,8951.811517,0.02311121,16410.18398,16932.86315,1.0608E+13,1.09459E+13,,6.01481E+12,,5.57743E+12,9304.651475,,8868.102106,15862.92548,16355.66707,5.73261E+12,1.02543E+13,1.05728E+13,,18.56557723,,1.06202E+12,16.94636011,18.16925341,,,,,5.19337E+12,,,,,,,,,,
Lower middle income,LMC,2015,,,6.58974E+12,,,6.43984E+12,,4.980274751,2123.279266,,,2074.977957,3.447286355,6185.115975,6186.825437,1.91959E+13,1.92012E+13,,6.51286E+12,,6.37699E+12,2098.505018,,2118.851705,6105.970477,6121.61166,6.576E+12,1.89503E+13,1.89988E+13,,25.74560551,,1.61054E+12,27.63754007,27.35863795,,,,,6.06348E+12,,,,,,,,,,
Namibia,NAM,2011,7.3,1313273835,12013342334,1.18965E+11,91420836986,12523402327,76.84675533,5.091338114,5570.247821,55160.7703,42389.26219,5806.748245,3.24840067,9324.528875,8958.932312,20110192775,19321711399,91420836986,11513581360,87678761200,12010789205,5338.52276,40654.16725,5130,9096.064747,8590,11069932793,19617464648,18530827059,87678761200,12.38093984,11318758829,1550514908,14.76806663,15.39835866,13501090121,1849464400,1.10419E+11,84615820997,11591208356,-2428802000,-332712602.7,6013963900,823830671.2,4.731508255,5.24409771,0.648151816,8583543661,6805015990,932193971.2
Panama,PAN,2018,1,-207500000,49051467366,41763300000,64928300000,64928300000,155.4673601,3.598112758,11743.60008,9998.711954,15544.73352,15544.73352,1.859335738,31012.94615,31757.56114,1.29537E+11,1.32647E+11,64928300000,45521332758,60382537500,60382537500,10898.437,14456.41507,14480,28838.2078,29530,60498579703,1.20453E+11,1.2336E+11,60382537500,36.80228806,23895100000,23895100000,29.69295161,31.92831818,19279128700,19279128700,39968600000,62717400000,62717400000,-4545762500,-4545762500,-70208800,-70208800,0.489481338,0.499715772,0.489481338,1778600000,2210800000,2210800000
Eswatini,SWZ,2010,7.3212,1225406300,4438778547,34232841400,32497185500,4438778547,94.92985148,3.793754968,4168.489518,32148.31266,30518.34546,4168.489518,3.07449818,7459.227976,7771.330751,7942891777,8275231608,32497185500,4212627097,30841485500,4212627097,3956.109031,28963.46544,3460,7098.403509,7380,3687273365,7558671091,7853616605,30841485500,4.534356368,1473538200,201270037.7,8.446052721,8.899472175,2744729420,374901576.3,32482645100,31051625900,4241330096,-1655700000,-226151450.6,2968200000,405425340.1,3.927042413,3.997947475,0.536393271,1750196300,1445559700,197448464.7
Turkmenistan,TKM,2016,3.5,,39563379206,51249470400,1.26593E+11,36169428571,247.0132843,6.199999966,6987.069411,9050.885292,22356.88901,6387.682575,4.379076259,13562.52848,13862.27557,76796067931,78493347164,1.26593E+11,,1.23291E+11,35225885714,,21773.67043,6830,,13500,38647183424,,76445710805,1.23291E+11,,,,,,,,,,,-3339000000,-954000000,437500000,125000000,1.612786364,1.610837901,0.460796104,,,
British Virgin Islands,VGB,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,2020,,,32361648936,12167980000,12986760000,,106.7289723,-5.814683428,19018.55445,7150.976473,7632.163697,,-9.158970861,40933.35266,43181.21063,69651497027,73476413920,12986760000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17674733,0.194714929,,,,
"Bahamas, The",BHS,2020,1,,9426590277,9651000000,11250000000,11250000000,116.5682313,-16.27773826,23971.10799,24541.76499,28607.90138,28607.90138,-17.07866579,30764.11597,32453.52957,12097927076,12762285598,11250000000,,10816902727,10816902727,,27506.56768,27780,,31200,10922603824,,12270969057,10816902727,,,,,,,,,,,,,,,0.881503545,1.095227396,0.881503545,,,
Cuba,CUB,2012,1,0,68124437665,50262000000,73141000000,73141000000,145.5194779,3.014900289,6051.679833,4464.910716,6497.314764,6497.314764,2.827842758,,,,,73141000000,67191299725,72146000000,72146000000,5968.786641,6408.926197,6280,,,70683409178,,,72146000000,13.7310127,10043000000,10043000000,,,,,49666000000,72318000000,72318000000,-995000000,-995000000,-394000000,-394000000,,,,596000000,823000000,823000000
Cyprus,CYP,2016,0.9034,0,25141372133,18964137000,18929340000,20953442550,99.81651156,6.438058481,29523.86515,22269.85148,22228.98888,24605.92083,5.95096582,36523.73321,35719.06637,31102186774,30416963880,18929340000,24122653736,18174736000,20118149214,28327.56988,21342.84684,24710,35061.37878,34300,21040627315,29856902778,29204414334,18174736000,19.13484041,3622099000,4009407793,13.23700152,13.78659379,2505677024,2773607510,16716323000,16562006000,18332970998,-754604000,-835293336.3,-361826600,-400516493.2,0.622328385,0.674554573,0.688873572,2247824000,2367334000,2620471552
Eritrea,ERI,2015,15.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.826648999,9.587958511,0.378969041,,,
Fragile and conflict affected situations,FCS,2016,,,1.83613E+12,,,1.63913E+12,,2.563330135,2160.814631,,,1928.978592,0.245436132,,4418.85411,,3.75488E+12,,,,1.61854E+12,,,2002.722766,,4351.836383,1.70179E+12,,3.69793E+12,,,,99418305665,,17.62903401,,,,,1.62703E+12,,,,,,,,,,
