Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Greenland,GRL,2017,100,,0.592301133,2431.1,,,,,,,0.005687963,0.571348755,19.23157291,543609626.1,,,,,,,,,,,,,,97.4,0.000535997,2.2,410450,,97.5,,,,,7542,13.426,-1.852269705,,410450
IDA only,IDX,2018,44.48459063,,38.74649815,7983713.32,,,,633100,,365960,,,19.67100752,2.42973E+11,,9.777099924,0.182222276,,,234805463,2039.637004,,53.66037128,58.49812414,50.15540469,1092.689527,32.44308213,,25.0753651,5166777.28,20604993.23,115121729,,1.285736728,,,,711112720,65.68341485,1.497475618,,21074057.39
Jamaica,JAM,2014,89.15355958,,40.99722992,4440,,,,340,,300,0.116644094,0.980996454,5.972485965,830129490.8,,11.08033241,0.041737142,120000,,2512,1138.7,100.22,18.42000008,7.96999979,26.25,,115.28575,97.88,52.96934441,5736.58,10830,2206,94.73,8.771929825,,,,1305772,45.416,0.059062969,,10990
Lebanon,LBN,2020,,,,,,,,,,,,,2.504358376,836036139,,,,,,,,,,,,,,,14.01075269,1433.3,10230,,,,,,,755918,11.075,-1.93909407,,
Low income,LIC,2013,21.59845619,,38.741163,5793226.96,,,,340300,,219910,,,27.3272555,1.18397E+11,,9.169030542,0.241052358,,,88717522,1267.233142,0.191973621,62.96708092,67.5511715,59.46907319,229.770329,7.605559598,0.198018045,21.39639946,3199547.68,14953673.33,70008722,0.180720544,0.716018321,,,,383987704,69.17241587,2.204014716,,15233959.4
Solomon Islands,SLB,2013,40.41706577,,3.965702036,1110,,,,60,,20,52.15217251,0.640400722,,,,0.714540907,0.0350061,20000,,2759,2039,98.28,41.63000107,42.5,40.79999924,,,98.37,90.32097178,25280.84,27990,1353,99.62,2.965344766,,,,448876,78.567,2.120225539,,28900
Sierra Leone,SLE,2014,1.515314668,,54.71044611,39490,,,,2890,,1500,0.018816243,0.558707687,51.79252867,2597477049,,21.94513716,0.225732573,1584000,,1304469,1529.2,121.06,57.65000153,55.84000015,59.45000076,,,118.31,36.75888058,26532.56,72180,853046,101,2.285951787,,,,4179978,59.568,1.544505968,,72300
Turkmenistan,TKM,2010,100,,72.35120124,340000,,,,5870,,2810,,,11.34054256,2561052632,,4.128274424,0.381348444,1940000,,1535230,1700,96.45,29.36000061,26.47999954,31.45999908,,,95.49,8.782159045,41270,469930,903100,95.09,0.12767859,,,,2620372,51.509,0.952863997,,488100
Mozambique,MOZ,2014,2.666224174,,51.49110099,404915.72,,,,9620,,9410,4.170569213,1.288533606,23.93493466,4240333155,,7.184821588,0.214941746,5650000,,1718167,702.6,99.11,73.12000275,83.19000244,62.02000046,,7.534084956,100.52,48.50889901,381464.28,786380,2445300,107.31,0.381494952,,,,17380956,66.122,2.018226996,,799380
Sweden,SWE,2018,100,,7.387493555,30090,,,,3300,,3940,3.919147237,1.300714014,1.392786621,7736308101,,6.260587759,0.25060898,2550000,,3255500,3534.7,64.44,1.730000019,0.839999974,2.549999952,,100.3501961,85.17,68.69460607,279800,407310,921000,99.38,0.00982053,,,,1278923,12.569,-1.080524095,,447430
Burkina Faso,BFA,2019,,,,,,,,,,,10.87024622,0.479815685,20.17366478,3225931107,,,,,,,,,26.20999908,21.40999985,30.06999969,,,,22.90350877,62664,273600,,,,,,,14229032,70.02,1.960195774,,
Canada,CAN,2018,100,,6.491374243,581990,,,,24230,,34720,4.4983604,0.844354705,,,,4.315053443,1.043755948,38687000,,58095800,3878.7,105.86,1.49000001,0.939999998,1.99000001,26.63146995,111.8205082,106.26,38.70376294,3470020.7,8965590,14978100,106.53,0.018961385,,,,6890046,18.589,1.084928031,,9879750
Cuba,CUB,2010,90.26415921,,60.70274333,64612,,,,7990,,3090,,,3.614289268,2325000000,,31.79255919,0.301447563,3384000,,779086,1937.2,84.43,18.60000038,8.510000229,24.94000053,571.5866206,29.89332151,86.02,27.54603533,29320,106440,402165,91.09,3.945885006,100440.7969,8.329352249,9163.390625,2627182,23.403,-0.400160233,1.48484202,109880
Dominica,DMA,2012,,,33.33333333,250,,,,30,,10,0.03505878,1.979210961,12.01960082,58414814.81,5,8,0.084561829,6000,2083,200,1666.7,98.94,,,,,84.825,99.91,63.82666667,478.7,750,120,105.07,22.66666667,,,,22219,31.315,-0.88272109,,750
Greece,GRC,2016,100,19.68709257,47.60279286,61360,,,,4200,,3450,1.914993881,1.035272317,3.520530984,6785206471,,16.60201707,0.198589992,2140000,,3962384,4223.5,99.2,12.36999989,11.75,12.81999969,103.8580607,125.6551402,99.13,30.26997673,39018,128900,938176,98.81,8.642358417,,,,2329011,21.613,-1.981347927,,131960
Kiribati,KIR,2018,100,,41.97530864,340,,,,10,,0,,,28.6156452,56297818.29,,2.469135802,0.017264895,2000,,,,104.04,,,,,,104.07,1.456790123,11.8,810,,104.42,39.50617284,,,,53221,45.943,-0.247715329,,810
"Korea, Rep.",KOR,2011,100,,18.06873135,17561,,,,9390,,4640,1.177844408,1.775483675,2.209199955,27686202942,,15.3102171,0.029797761,1488000,,5825776,6292.7,99.51,6.369999886,6.75,6.110000134,118.016789,337.3188777,89.89,65.61374627,63770,97190,925794,79.84,2.160716123,,,,9027046,18.077,0.840909322,,100030
"Korea, Rep.",KOR,2018,100,,16.94011485,16520,,,,9290,,4880,0.948202982,1.36663502,1.746403394,30122762381,,14.08941756,0.026624484,1374000,,5428929,6585,96.89,5,4.739999771,5.179999828,167.9037474,369.7358443,100.71,64.67391304,63070,97520,824441,104.7,2.276456112,,,,9568386,18.541,0.712926786,,100370
Latin America & Caribbean (excluding high income),LAC,2015,88.42893161,,35.75124375,6510687.6,,,,626250,,301690,2.036689299,1.014592241,4.603439982,2.22227E+11,,7.693706249,0.248151136,,,227563971,4334.799447,,14.44997029,7.629236527,19.10566183,397.6705188,136.4168095,,48.22138061,8781634.2,18211080,52496759,,1.17151756,,,,117825828,20.86822311,-0.282952381,,18549581
Least developed countries: UN classification,LDC,2010,23.14814912,,37.02901575,6625220.9,,,,550820,,317370,2.388435304,2.358037755,22.34791232,1.5419E+11,,8.303319179,0.187448521,,,191645806,2048.544844,4.508236551,61.5613612,67.77274679,57.14321876,364.4191091,21.19767073,8.646833312,27.85231531,5746012.62,20373324.65,93551806,18.37110645,0.817693804,15032760.46,0.608145284,93218.91115,590103638,70.53468478,1.633976994,2.921810235,18298149.13
Moldova,MDA,2015,100,9.83175151,70.49878345,23180,,,,750,,770,0.95102887,1.620845739,11.50526791,891109652.7,,52.70681265,0.611388837,1733000,,2183323,2370.9,87.76,34.15000153,29.72999954,38.50999832,,30.20236584,90.74,11.75182482,3864,32880,920899,101.92,7.238442822,,,,1630138,57.51,-0.777456033,,33850
Northern Mariana Islands,MNP,2014,100,,6.52173913,30,,,,,,,,,,,,2.173913043,0.018082856,1000,,,,,,,,,,,64.46956522,296.56,460,,,2.173913043,,,,4826,8.727,-0.020718948,,460
Grenada,GRD,2012,,,23.52941176,80,,,,10,,10,,,4.832211185,38652000,,8.823529412,0.027919443,3000,2350,360,1028.6,62.87,,,,,,69.13,52.05882353,177,340,350,101.55,11.76470588,,,,68910,64.131,0.605515518,,340
Afghanistan,AFG,2010,30.21880025,5.001186991,58.06911129,379110,,,,11510,,4270,10.76704557,,26.21006854,4156019105,,11.93670925,0.267016055,7793000,,5957000,2011.1,89.9,54.58000183,72.90000153,51.38999939,115.2458825,1.777859618,92.79,1.850994088,12084.4,652860,2962000,97.57,0.180743191,,,,22257746,76.263,2.472936901,,652860
Angola,AGO,2014,,,43.90169889,547322.48,,,,17060,,16880,0.00844074,0.88912587,7.547056779,10996982492,,3.930376193,0.181873702,4900000,,1823194,888.2,96.91,51.13999939,58.20000076,44.15000153,,9.259387755,97.02,56.09830111,699377.52,1246700,2052765,97.65,0.232614101,,,,10040929,37.269,1.560282831,,1246700
Canada,CAN,2019,100,,,,,,,,,,3.702534529,0.816062854,,,,,,,,,,,1.50999999,1,1.970000029,,,,38.69963717,3469650.8,8965590,,,,,,,6961543,18.518,1.032338383,,
Caribbean small states,CSS,2016,94.2060119,,5.131381993,20774.4,,,,2440,,1900,,1.222885469,4.416697096,3227286374,,1.867358281,0.103997793,,,917800,3656.657915,,11.44288317,5.556197872,15.7841296,11.82008445,118.0993475,,90.09704829,364757.9,404850,250995,,0.597999259,,,,3568808,49.09365291,0.404396312,,434990
Gabon,GAB,2019,24.15262729,,,,,,,,,,,,5.554416266,937277207.6,,,,,,,,,29.95999908,45.75999832,20.98999977,,,,91.36678698,235424.8,257670,,,,,,,222885,10.259,-1.068369066,,
Croatia,HRV,2010,100,1.087119508,23.83488206,13338,,,,1490,,1420,3.698404385,1.11645699,3.698754403,2216231265,,16.16154396,0.210549498,904400,,3014507,5456,95.74,14.25,15.48999977,13.22000027,63.17239921,297.3098187,92.11,34.31022159,19200,55960,552508,84.35,1.501072194,51019.57031,0.820584988,462.1728821,1926284,44.845,-0.600750996,0.894558464,56590
IDA only,IDX,2016,38.40777148,,38.7033518,7974947.3,,,,622610,,361240,,,21.49271796,2.27728E+11,,9.771088733,0.190510385,,,224888609,1954.882527,,55.2704534,60.3894971,51.63782072,552.7564926,28.61431567,,25.41309884,5236448.9,20616201.34,115039364,,1.270033066,,,,690230181,66.67238212,1.510390175,,21085006.27
St. Kitts and Nevis,KNA,2010,100,10.52631579,21.92307692,57,,,,10,,10,0.036183164,1.90696761,1.29941631,9877777.778,,17.30769231,0.091816123,4500,,,,84.89,,,,,11.33333333,102.33,42.30769231,110,260,,143.69,0.384615385,36.29169846,2.009473378,5.364416599,33660,68.678,1.051258039,1.932029759,260
"Macao SAR, China",MAC,2010,100,,,,,,,,,,0,0.267945425,,,,,,,,,,96.92,0.400000006,0.129999995,0.649999976,,,99.39,,,29.7,,100.21,,11.18112087,19.80794372,5.725583553,0,0,,16.33153835,29.7
North Macedonia,MKD,2018,100,,50.11895321,12640,,,,890,,450,0.438739836,0.796948524,8.470386518,1074039482,,16.5741475,0.20067625,418000,,598382,3714.5,101.56,15.72000027,14.77999973,16.34000015,,60.84748804,101.66,39.71015067,10014.9,25220,161091,101.64,1.625693894,,,,875613,42.037,-0.463967635,,25710
Netherlands,NLD,2016,100,11.07438017,53.90555391,18150,,,,13150,,7180,3.096325742,1.690309117,1.766532032,13841276310,,30.53163053,0.06036295,1028000,,1355219,7776.9,97.66,2.25999999,1.379999995,3.00999999,13.00096124,291.6857977,103.08,10.86308286,3657.6,33670,174263,105.27,1.128601129,,,,1594889,9.365,-4.283237572,,41540
Post-demographic dividend,PST,2011,99.88626783,,34.65154088,10860356,,,,636230,,532360,1.713905467,1.37445876,1.402381066,6.44661E+11,,11.45091711,0.333141464,,,799186371,5224.723961,0.146894886,3.838094391,3.034766638,4.497262374,79.33925686,122.5749167,0.165119635,31.90524723,9999287.936,31341654.9,152962206,0.145558826,0.521731084,,,,214878778,19.93601869,-0.763288807,,33196272.9
Slovenia,SVN,2019,100,,,,,,,,,,1.594176826,2.158376698,2.005825235,1086640322,,,,,,,,,4.28000021,3.480000019,4.96999979,,,,61.57307165,12398.6,20136.4,,,,,,,943491,45.178,0.076341466,,
Malawi,MWI,2018,11.40595071,,59.92787442,56500,,,,3200,,4260,1.339195097,2.473282952,22.00283339,2137134012,,38.18413237,0.198421283,3600000,,2925168,1531.2,112.12,76.63999939,82.33999634,71.29000092,,35.91796111,117.66,24.66801018,23257,94280,1910382,141.51,2.121340687,,,,15070299,83.063,2.373635867,,118480
Angola,AGO,2010,,,42.12079891,525120,,,,17500,,17280,0.000379226,0.653942179,6.180293181,5179054574,,3.288682121,0.175541901,4100000,,1181944,629.3,91,48.88000107,55.47000122,42.54000092,,8.43,90.87,57.87920109,721580,1246700,1878155,89.74,0.232614101,1248198.625,0.121391911,1516.944458,9393182,40.217,1.826227486,0.241155861,1246700
Andorra,AND,2011,100,,42.06382979,197.7,,,,0,,0,1.807257472,0.404773502,,,,1.638297872,0.009194249,770,,,,,,,,,,,34.04255319,160,470,,,,,,,9442,11.274,-0.010590416,,470
Bulgaria,BGR,2010,100,1.781472684,46.53647752,50520,,,,1890,,2980,1.377884787,1.066127386,4.009614732,2020117098,,29.34782609,0.430796748,3186000,,7136449,4031,88.2,6.820000172,5.199999809,8.220000267,81.86535631,97.05335844,91.68,34.42336035,37370,108560,1770374,108.91,1.510685335,103838.0078,0.129666107,143.3030243,2048433,27.698,-1.874738601,0.140460177,111000
Brazil,BRA,2014,97.91007704,,28.08249204,2347174,,,,333330,,161680,4.02947453,1.00711289,4.325610539,1.06237E+11,,6.448204983,0.265801957,53895000,,101402184,4640.4,98.7,10.34000015,5.179999828,14.02000046,480.7485818,285.0605357,99.13,60.47086792,5054239.8,8358140,21851934,99.89,1.055976569,,,,29416964,14.508,-1.076072071,,8515770
Cabo Verde,CPV,2015,77.76663688,,19.60297767,790,,,,60,,60,0.004891569,1.662536861,8.737394762,139518744.6,,12.40694789,0.095285284,50000,,8677,276.5,102.75,14.53999996,8.619999886,18.93000031,,,101.73,10.97270471,442.2,4030,31386,100.1,0.992555831,,,,187332,35.7,-0.123767674,,4030
Cyprus,CYP,2011,100,21.41014617,12.58658009,1163,,,,180,,250,1.824695366,0.737191097,2.151281574,593010857.5,,9.090909091,0.074677487,84000,,70195,1954.4,117.86,3.829999924,2.359999895,5.050000191,,151.202381,111.78,18.70281385,1728.14,9240,35916,108.09,3.235930736,,,,366629,32.594,1.538107067,,9250
Djibouti,DJI,2019,24.98939161,,,,,,,,,,,,1.271718563,42279991,,,,,,,,,24.54999924,22.13999939,26.13999939,,,,0.245901639,57,23180,,,,,,,215010,22.085,0.891830695,,
"Hong Kong SAR, China",HKG,2010,100,,5.238095238,55,,,,,,,1.653848393,0.591188706,0.053368402,122020285.2,,3.333333333,0.000498277,3500,,0,2000.4,96.15,0.230000004,0.159999996,0.289999992,,616.2857143,98.31,,,1050,0,98.74,0.952380952,231.1713409,4.457578734,50.49162674,0,0,,4.421569465,1100
Haiti,HTI,2014,2.363214474,,66.76342525,18400,,,,3000,,1340,,,17.81278974,2634648006,,38.82438316,0.101431348,1070000,,586897,1014.4,101.99,30.88999939,15.03999996,44.25,,,101.91,13.27851959,3659.56,27560,578576,98.96,10.15965167,,,,5122176,48.556,-0.590132645,,27750
IDA total,IDA,2014,35.19736225,,39.72317608,9920742.34,,,,818530,,464680,2.705815169,,22.0183992,4.50036E+11,14.89,11.48424632,0.188748374,,,308815429,2016.865383,0.182576662,52.39801338,58.11461953,48.63039959,190.4300273,39.40015137,0.203528054,26.55018611,6630828.182,24985582.68,153116411,0.201397281,1.481519496,,,,968643566,64.93647053,1.565249639,,25544480.57
IDA blend,IDB,2010,38.63350435,,44.53013135,1945686.2,,,,195560,,114540,2.633492351,2.289023393,22.85707729,1.59931E+11,,19.09909209,0.182986684,,,76001787,2022.47186,0.13260186,44.83293108,50.06864164,41.81128309,128.5783087,68.7327319,0.164147068,30.56395666,1335452.353,4369370,37578438,0.179839567,2.514779018,3502098.411,0.555363728,20037.03766,280291932,61.46084714,1.664303801,0.508175105,4457950
Jamaica,JAM,2011,84.49264926,,40.99722992,4440,,,,340,,290,0.147814933,0.803449404,5.647286778,815731108.9,,11.08033241,0.042463867,120000,,2968,1356.4,102.74,17.59000015,7.980000019,24.75,,71.175,96.51,51.91615882,5622.52,10830,2188,90.38,8.771929825,,,,1301907,46.07,0.143815627,,10990
Kyrgyz Republic,KGZ,2016,99.81100409,9.520827997,54.95881126,105411,,,,3460,,1650,1.744828391,1.905932186,12.83447316,874424472.3,,6.714285714,0.21182663,1287800,,1763629,3104.4,106.32,26.79000092,27.82999992,26.11000061,,12.69338407,104.58,6.549739312,12562.4,191800,568113,102.37,0.39624609,,,,3894285,64.056,1.776863672,,199950
New Zealand,NZL,2017,100,,40.42383502,106440,,,,27850,,14570,12.21553977,0.819633992,5.903578884,12217491962,61.661219,1.864722191,0.102002659,491000,1732,936995,8464.4,96.43,6.340000153,4.329999924,8.130000114,305.9805251,1863.302994,97.73,37.41160609,98508.5,263310,110699,97.64,0.254452926,,,,651473,13.534,1.602242554,,267710
Rwanda,RWA,2010,2.60560527,,73.12201054,18039.2,,,,1720,,1530,3.017563082,1.365198147,24.32793451,1489169927,,45.55816782,0.111951605,1123920,,673106,1957.5,105.68,79.44999695,87.98999786,70.41999817,,0.083635846,103.46,10.74179165,2650,24670,343854,90.1,10.13376571,,,,8339277,83.066,2.584041187,,26340
Seychelles,SYC,2016,100,,3.369565217,15.5,,,,0,,0,0.000477676,0.725935053,2.010871146,28688128.77,,0.326086957,0.001584334,150,,,,101.35,,,,,521.7333333,109.05,73.26086957,337,460,,115.08,3.043478261,,,,41818,44.169,0.366542102,,460
Togo,TGO,2013,16.89890724,,70.2334988,38200,,,,1450,,1400,7.791131091,0.842023428,37.51484194,1621262289,,48.72219158,0.381036134,2650000,,1306625,1090.1,86.33,41.75999832,40.43999863,43.06999969,9.3306997,11.72499245,87.91,22.61426733,12299.9,54390,1198660,91.56,3.125574554,,,,4238137,60.939,1.79418667,,56790
Albania,ALB,2019,100,,,,,,,,,,,,18.46337992,2822425356,,,,,,,,,36.41999817,41.63000107,32.70999908,,,,28.7919708,7889,27400,,,,,,,1106598,38.771,-2.746066612,,
Armenia,ARM,2020,,,,,,,,,,,,,11.71731273,1481708002,,,,,,,,,,,,,,,11.5374078,3284.7,28470,,,,,,,1087122,36.687,-0.069884932,,
Azerbaijan,AZE,2013,100,29.65113841,57.70454518,47698,,,,4020,,2870,0.087782958,2.140625804,5.36626448,3979859783,,23.29207951,0.204453721,1925300,,2856572,2692.3,101.47,37.09999847,43.54000092,31.05999947,,19.9624526,98.39,12.82050351,10597.3,82659,1061005,95,2.786145489,,,,4318074,45.855,0.723697759,,86600
Azerbaijan,AZE,2015,100,30.00125791,57.7017529,47698,,,,4060,,3340,0.104834265,1.50115953,6.177638838,3278742924,,23.44095907,0.200811641,1937700,,2898559,3083.6,102.96,36.36000061,42.06000137,30.97999954,,50.96609382,101.24,13.03953365,10778.8697,82663,940007,99.33,2.867062652,,,,4369801,45.286,0.548505861,,86600
China,CHN,2014,100,,56.09673805,5286950,,,,337910,,353890,0.468830457,3.570637054,8.643491396,9.05465E+11,,12.69589308,0.087706246,119655000,,559325222,5893.2,96.87,29.5,25.89999962,32.36000061,87.89423269,464.8275736,97.81,22.10759465,2083574.76,9424701.3,94910483,100.06,1.719523992,,,,624030741,45.741,-2.181280088,,9600006.3
Algeria,DZA,2012,97.67373249,2.519240575,17.38149,413981.9,,,,6350,,5200,0.009902882,1.501983342,8.770686355,18335908481,59.22848665,3.151687422,0.200795,7506500,89,5137470,1677.6,107,10.68999958,3.170000076,12.28999996,287.432675,21.32818224,101.92,0.811675498,19332,2381740,3062463,89.58,0.387951666,,,,11620785,31.085,-0.209353464,,2381740
