Country Name,Country Code,average_value_Population ages 0-14 (% of total population),"average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)",average_value_GDP per capita (current US$),average_value_GDP growth (annual %),"average_value_GDP per capita, PPP (current international $)","average_value_GNI per capita, Atlas method (current US$)",average_value_Gross domestic savings (% of GDP),average_value_Rural population (% of total population),average_value_Rural population growth (annual %),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)",average_value_Forest area (% of land area),average_value_Agricultural land (% of land area),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),average_value_People practicing open defecation (% of population),average_value_Total natural resources rents (% of GDP),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Population growth (annual %),average_value_Population ages 15-64 (% of total population),average_value_Population ages 65 and above (% of total population),average_value_Age dependency ratio (% of working-age population),average_value_Mobile cellular subscriptions (per 100 people),average_value_Fixed broadband subscriptions (per 100 people),average_value_Individuals using the Internet (% of population),average_value_Fixed telephone subscriptions (per 100 people)
Arab World,ARB,33.2398709,69.19179,67.11553,27.4303894,27.89999008,5948.674349,4.663808232,15032.60729,5793.111243,41.15832313,43.55911948,1.37984124,5.177426883,2.859551987,36.42554503,88.47155691,83.16668783,5.103822331,22.72098563,8.725583875,1.919966442,62.66196548,4.557907613,61.16458197,99.48647313,7.682610797,,8.471974538
Belarus,BLR,16.86594305,102.4395294,101.6907425,87.42909241,95.0921402,6519.230195,5.37870745,16543.04373,6260.0,37.84611629,22.819,-1.956730749,6.283296561,42.53416626,42.24201638,96.52321031,97.88502524,0.0,1.773031832,18.1131937,-0.694662243,67.7628385,15.20084135,47.57350667,123.0082886,34.01110045,82.78915209,47.10760038
Barbados,BRB,19.19415159,,,,,17745.25537,-0.580333154,16051.25581,16700.0,9.640915168,68.672,0.333898676,,14.65116279,27.90697674,98.51445042,98.09246231,,0.270213691,10.5062781,0.132831082,66.71857852,16.23099033,49.88302628,114.7377406,37.21034753,,44.61039979
Cayman Islands,CYM,,,,,,74990.43322,2.654527985,63067.41992,42930.0,,0.0,,0.312850352,53.0,11.25,,,,0.0,9.43994072,1.298987665,,,,152.4975545,49.27581963,81.06769325,54.85469061
Dominica,DMA,,90.72412872,90.04216766,,,6967.364955,0.6726344,10017.76187,6730.0,,31.315,-0.88272109,12.01960082,63.82666667,33.33333333,,,,,,0.254522074,,,,,,,
Estonia,EST,16.49817004,,,,,17624.04456,7.426671578,24780.97937,15990.0,31.20932517,32.035,0.099992362,3.646643062,55.50879925,22.3165841,99.74892504,99.33350111,0.0,1.904732447,17.94108204,-0.228057969,67.34279158,17.5240466,48.49395306,124.0753516,26.11536212,74.1,36.19928219
"Gambia, The",GMB,44.64685021,,,,,762.7631177,-8.130444223,2215.757104,760.0,4.829360037,38.73,1.228354168,19.87159059,25.11264822,59.7826087,79.2101665,46.29977642,1.225966442,5.558881778,20.69017611,3.008720834,52.84261647,2.653629678,89.24119711,130.1943563,0.171296252,19.7,2.157383525
Latin America & Caribbean,LCN,24.53977482,97.56992,99.74361,52.71844864,59.74541092,8951.811517,0.951874195,16932.86315,8868.102106,18.56557723,20.36993963,-0.235590891,4.63566208,47.33549005,34.9460806,94.74040083,82.96418874,4.775448868,6.504368113,10.70190803,1.119708045,65.74654654,7.021383267,52.41664353,105.8080264,8.096880673,39.33849068,18.09318521
Morocco,MAR,27.45259829,79.86486816,75.33222198,33.78467941,33.2909584,3035.454433,4.248949211,7312.056779,2880.0,23.07240051,40.858,0.029867569,12.3295604,12.72376877,68.12233923,83.75113288,82.61338627,6.520443469,2.443517618,11.34847392,1.3688207,65.88659869,6.376659691,51.77593075,124.279337,3.31048391,57.07999935,6.411249286
Middle income,MIC,27.03579341,72.99159,72.45071,28.66924095,29.60063934,5207.289024,-1.929644122,11815.91343,5307.829757,,52.07781317,0.008356507,9.059197088,34.23610172,37.26945645,88.35292439,68.63552023,12.70901916,6.270191206,14.14662293,1.171627437,66.57603185,6.587378564,51.35186362,91.77908227,6.41138348,30.18603094,11.13512539
Mauritania,MRT,40.40945514,32.67718887,32.19992065,5.352479935,3.576649904,1524.071753,5.376339237,4200.152563,1640.0,21.50498001,52.507,1.236429327,14.51589474,0.351023576,38.47967401,71.68104923,49.83422278,30.67496665,,,2.702227925,57.13704105,3.177868136,75.01782301,106.0845981,0.413922916,,1.335560594
Panama,PAN,26.49477944,,,,,15544.73352,3.598112758,31757.56114,14480.0,36.80228806,34.86,0.932322114,3.613074595,58.2188593,30.48681733,93.55518617,81.01029843,4.695434506,0.12454428,6.975891461,1.711544601,64.75061052,7.90991653,54.43872208,128.5729731,10.74233783,59.9506309,16.13404601
Pacific island small states,PSS,34.85643571,75.31316,76.84383,,,3440.720461,3.819518848,5239.595394,3119.464128,8.204597823,60.74211248,1.048943689,,68.45310065,,85.36421325,71.1741142,14.64585502,,,1.488034326,60.59307492,4.729330066,65.71709309,,,,
Saudi Arabia,SAU,27.84015037,,,46.67547989,47.03118896,20627.92693,4.10640887,48611.13147,23710.0,29.69482126,17.26,1.764213415,2.157306454,0.454484135,80.61394899,100.0,100.0,0.0,24.80626442,9.811326009,1.664776702,71.72113141,3.4128866,39.42891987,120.5147446,19.84896754,95.7247356,15.69363586
Sint Maarten (Dutch part),SXM,,,,,,29160.10381,-6.6,36190.66391,27680.0,3.393025448,0.0,,0.080249666,10.88235294,,95.31117933,98.78102656,0.131379855,0.0,,2.903978461,,,,,,,
Seychelles,SYC,23.7668663,,,,,12189.09516,7.887279597,21922.73953,10570.0,19.41497423,44.169,0.366542102,2.010871146,73.26086957,3.369565217,96.24196017,100.0,0.0,0.126515448,13.13457987,1.555395709,69.70546091,7.259990447,43.46126064,160.6283501,12.55320278,51.25470199,22.510216
Tuvalu,TUV,,,,,,3024.761774,-2.729427912,2928.118763,4400.0,,43.185,-1.199671629,20.49671004,33.33333333,60.0,100.0,84.17299641,8.482711523,0.0,4.988068065,0.972545062,,,,31.31620153,4.144791379,37.0,13.35543889
Virgin Islands (U.S.),VIR,20.28716248,,,,,37850.77827,-15.01925546,,,13.18681319,5.081,-3.151558947,,53.49142857,11.42857143,98.71826738,99.37127753,0.0,,,-0.261338012,60.99828047,19.28830722,63.94000214,,,,
Africa Eastern and Southern,AFE,41.24664096,,,,,1401.281053,2.00453889,3454.156392,1436.930421,18.64031682,66.92831284,2.107196785,12.37948889,31.97249225,43.62191273,51.92118326,27.68466543,22.31573505,11.60248041,12.56369009,2.763425798,53.81093911,3.008041271,86.93798576,53.25814846,0.354239757,8.940633931,1.633809838
Angola,AGO,47.14453499,26.48254013,20.72069931,6.130300045,3.322609901,4166.979833,0.943571561,7337.569822,4520.0,30.82316733,37.269,1.560282831,7.547056779,56.09830111,43.90169889,56.59174872,51.12074396,18.67839043,27.42822035,11.67180345,3.276144588,50.97470164,2.216373648,96.17574361,43.13051888,0.355604536,35.0,0.557803272
"Congo, Rep.",COG,41.27026268,,,,,3923.093509,9.947153143,6335.785752,3500.0,62.53644876,32.627,1.171865805,7.679694463,64.30746706,,73.59587316,20.36426415,8.548880757,47.86867769,25.76076745,2.562826461,55.7413352,2.721415896,79.40006635,,,,
Iraq,IRQ,40.76775013,,,,,7076.552265,7.628571185,15535.34598,7050.0,43.91100773,29.906,2.30042083,3.977189811,1.900361184,21.30707994,97.77878399,99.47363683,0.0,39.79921168,11.57040995,2.254139075,58.58053961,3.398533134,70.7051498,94.69591577,11.59775672,,7.27323781
Kenya,KEN,42.40570751,,,,,1315.802225,5.357125644,3021.427818,1240.0,6.212845886,75.624,2.126063354,26.1699503,6.28802755,48.72263415,55.37612789,31.932772,12.56396154,3.255771349,12.27708796,2.693743646,54.84997617,1.95128689,82.31548336,65.03449165,0.125396397,8.8,0.65668674
Mauritius,MUS,18.90170502,97.54029846,99.81185913,38.84852982,43.79940033,11097.58693,3.014762911,23837.46924,12900.0,8.805213206,59.0,0.320809586,3.153993847,18.86699507,42.36453202,99.86633136,95.50483772,0.13068192,0.003545788,12.04944089,0.090186811,70.69092186,10.95168917,41.46081455,145.4726338,19.45434516,55.4032403,32.66906498
Nigeria,NGA,44.21676371,56.20539856,53.51221085,,,2961.549422,6.671335393,5225.172934,2690.0,19.95485914,48.042,0.889428211,24.14330587,23.74578653,,75.83888335,41.80768804,19.05209648,9.197463072,13.15793479,2.564871955,53.56938646,2.743083338,86.6737828,91.85357742,0.041480149,33.6,0.053320104
Nicaragua,NIC,30.90433114,,,,,2049.851666,4.793318181,5293.870462,1890.0,15.45007722,41.24,0.654289188,15.42787374,29.14683397,,81.61223828,72.96939836,6.825229217,1.288859026,6.021180116,1.229759088,64.68715463,5.457992374,54.59018445,88.43373663,3.32469534,,3.495255215
Albania,ALB,17.3995641,95.08659363,95.65992737,59.7784996,73.3405304,3952.801215,2.218752232,11658.86606,4390.0,8.194588699,41.579,-2.505938185,19.84997587,28.80218978,43.12773723,94.75822287,99.18306692,0.0,1.591731888,17.36482909,-0.426007367,68.39780528,14.20263062,46.20352176,91.29301538,15.1407347,68.55039112,8.429920057
Armenia,ARM,20.83234483,,,,,3914.527854,7.500000002,12115.13929,3950.0,7.651454985,36.888,0.650891972,18.07203635,11.58159466,59.03407095,99.97118069,93.93674174,0.010683577,,,0.185983345,67.36477569,11.80287948,48.44552785,117.7357712,14.52486347,,14.42807762
Azerbaijan,AZE,22.62737458,,,21.44042969,22.62381935,4147.089716,0.153614647,14121.40694,4090.0,31.07219731,45.855,0.723697759,5.36626448,12.82050351,57.70454518,89.84894863,92.44169837,0.177024732,26.98555118,4.76450424,1.293447027,71.67595692,5.696668509,39.51680267,107.9339038,18.24285161,73.00000137,18.72954018
China,CHN,18.13436185,,,42.43072891,45.75696945,5618.132267,9.550832179,10299.87069,5050.0,49.84070672,45.741,-2.181280088,8.643491396,22.10759465,56.09673805,91.1813536,82.74794313,0.758538313,2.3143879,17.87297091,0.506311592,72.89924074,8.966397405,37.1756399,91.89962887,14.32580171,47.9,17.82338014
Algeria,DZA,27.66859366,,,32.20153046,38.56113052,4109.703442,1.3,11737.41616,3940.0,38.48690732,31.085,-0.209353464,8.770686355,0.811675498,17.38149,92.74518845,87.0935433,1.977114639,30.04012861,5.75663859,1.951463675,66.76538119,5.566025156,49.77821874,100.384679,3.08889162,18.2,8.798877164
Haiti,HTI,36.26740596,,,,,1389.119779,1.616915115,2903.359903,1390.0,-4.271104178,48.556,-0.590132645,17.81278974,13.27851959,66.76342525,62.20079017,27.15643914,25.93072444,0.677029404,4.473707646,1.532102807,59.25277119,4.479822846,68.76848417,40.20374454,,8.37,0.502546807
IDA only,IDX,40.55766771,44.00604,41.26212,10.10338974,8.398070335,1219.775623,-0.253354272,3455.286197,1209.294203,18.69689236,65.68341485,1.497475618,19.67100752,25.0753651,38.74649815,62.58850858,32.93336169,22.13965139,8.867291615,8.581767985,2.207462088,55.98627164,3.456060645,80.3775563,52.40419825,0.264656811,5.820758011,1.601524421
Israel,ISR,27.66987712,102.693222,103.7264786,67.0438385,77.19342804,40474.66813,3.555612725,38833.97343,37580.0,22.71359299,7.969,0.97914675,1.260969975,7.421441774,24.04343808,100.0000008,99.98356473,0.0,0.329848101,13.34759764,1.866052895,61.49417939,10.83594349,62.61702948,122.8208828,25.8958135,70.25031195,43.94401902
Kiribati,KIR,35.39716378,,,,,1670.824691,2.538071066,2417.767466,3010.0,,45.943,-0.247715329,28.6156452,1.456790123,41.97530864,72.11599867,42.38021216,35.33868572,0.055213896,4.732200952,1.426421878,61.07702289,3.525813328,63.72810878,18.5373992,0.648808972,11.5,5.561219761
"Korea, Dem. People's Rep.",PRK,22.18545928,,,30.34523964,,,,,,,39.443,0.050763371,,51.66647288,21.8420397,96.65020598,78.75000115,0.0,,,0.506081341,68.76824207,9.046298655,45.41596036,4.05294853,,0.0,4.782479266
Trinidad and Tobago,TTO,20.41957257,,,,,16683.39306,3.32322471,30528.89314,16460.0,,46.816,0.461667611,1.039343363,44.64522417,10.52631579,98.87517077,93.91521101,0.0,10.26450142,11.13393761,0.416814325,68.84547391,10.73495352,45.25287848,141.9293402,24.62148602,,22.98108491
Uganda,UGA,46.01588242,,,,,828.9941128,9.391655493,2249.741072,850.0,12.46619983,75.046,2.482637057,24.02821224,11.65918612,,55.85504921,19.78963715,4.675956061,,,3.269713347,51.99841796,1.985699615,92.31354613,60.53427508,0.075634539,,0.198452124
Belize,BLZ,34.18786982,78.31773376,79.4963913,24.32074928,30.29557037,5078.809944,1.76082496,7558.604656,4700.0,19.24817154,54.772,2.381104835,11.65044723,60.48566418,6.882946076,95.23855612,86.25785653,1.870521068,4.836407683,17.51834095,2.324130368,61.62662722,4.185502959,62.26722164,51.01272189,2.950591716,31.0,7.519230769
Euro area,EMU,15.02560197,108.6211,108.3687,75.15541077,81.55800629,37045.47826,2.594004441,45589.71215,35822.36885,24.95420797,23.87190053,-0.485535563,1.615797347,38.30731285,43.39847221,99.90270667,99.04830751,0.0,0.078273875,17.86163398,0.08857557,64.12210252,20.85229552,56.03607089,122.1606272,37.79395391,84.82611985,42.83763076
Gabon,GAB,36.82213923,,,,,7956.627816,0.842950946,15098.44541,6830.0,50.80508023,10.259,-1.068369066,5.554416266,91.36678698,,84.54578933,49.20330829,2.036995209,18.83700311,16.96426409,2.795874594,59.59324359,3.58461718,67.80431829,128.9816609,0.724856319,50.32012015,1.028417448
Heavily indebted poor countries (HIPC),HPC,42.85608219,41.39742,38.10805,8.877759933,7.347420216,945.0036949,5.814322437,2108.162391,892.8315756,16.45639149,67.08467111,2.158776566,25.08808826,28.68790678,37.25715524,59.24631386,27.47172805,20.24908318,7.867826696,9.659478071,2.783317707,54.11551367,3.028404135,85.40860088,73.2935371,0.555985133,20.99702672,0.743888213
Kyrgyz Republic,KGZ,32.6488402,,,,,1279.769783,4.024038626,4281.824074,1250.0,-13.47215082,64.056,1.776863672,12.83447316,6.549739312,54.95881126,91.69930522,97.89104384,0.0,,,2.075520173,62.62326617,4.727893633,59.68506798,,,,
Lebanon,LBN,25.57221984,,,,,7933.233249,3.811023284,14976.7806,7640.0,-5.26520697,11.075,-1.93909407,2.504358376,14.01075269,,92.6,99.06737938,0.0,0.001200948,20.05286569,-0.053940482,67.15448853,7.273291633,48.91038412,61.81650253,6.126277456,,12.86773527
Liechtenstein,LIE,,,,,,178864.8519,,,,,85.629,0.230638047,,41.875,,100.0,99.95,0.0,0.005293184,18.90014777,0.883698226,,,,104.0423458,40.65630584,93.8,49.5478421
Nepal,NPL,35.81657189,60.26435089,60.12377167,14.45016003,11.61579037,1155.142854,-2.088378695,4008.74658,1190.0,6.345472517,83.232,0.080713479,33.17937849,41.59072201,28.78269969,85.86199121,45.22110218,35.70224986,1.272073565,5.164342548,0.103647394,59.04303504,5.140393074,69.36798715,49.38563053,0.350043378,9.0,3.126863359
Middle East & North Africa (IDA & IBRD countries),TMN,31.01639097,77.4084,75.39607,38.11077881,38.70439911,4644.969214,-1.016176811,11593.93735,4109.676193,35.30550405,39.2333816,0.854863198,9.482001068,2.484817435,22.71941607,93.36554758,89.41700146,1.821514121,19.12431254,11.17112883,1.680156569,63.58118083,5.402428204,57.90180003,99.99112341,8.0263289,57.43250475,15.38237129
Andorra,AND,,,,,,38964.90448,0.34607189,,,,11.274,-0.010590416,,34.04255319,42.06382979,100.0000037,100.0000037,0.0,0.0,,0.179041785,,,,113.9573773,47.13126442,,51.40779342
Bosnia and Herzegovina,BIH,14.92118457,,,,,5092.554725,0.959511247,9976.459713,5010.0,-7.36781936,52.482,-1.919916485,6.369381022,42.50996094,43.14453125,96.15126178,95.33614883,0.0,1.061191162,16.75174491,-1.264728458,70.000378,15.07843743,42.8564076,100.5249735,19.56337748,60.25653543,22.00036855
France,FRA,18.425253,103.425827,104.2235565,61.51047897,68.3062973,40638.33525,1.949437623,35930.3144,43850.0,20.65505298,20.606,-0.775374197,1.55635616,30.59517091,52.536083,100.0,98.65238469,0.0,0.048920398,17.6455695,0.473706908,63.13889012,18.43585687,58.38099164,101.9183391,40.45422009,83.75,60.44999848
"Iran, Islamic Rep.",IRN,24.65465805,,,,,5585.525604,4.60341888,15235.70169,6500.0,43.40872384,24.609,-0.631238284,12.18187982,6.596103784,,97.35464541,90.19770214,,,,1.352289806,68.98681989,6.358522055,44.95522508,142.3903718,10.40378197,77.77083846,34.92159084
Least developed countries: UN classification,LDC,40.56018309,43.96917,41.19485,9.320790291,7.602069855,906.4127026,4.000402146,2224.718173,833.3754112,23.51310202,69.52231767,1.649001787,22.50539868,27.81810904,37.8044033,61.93444618,32.43066868,21.18987177,10.19207503,9.049820897,2.386909401,55.97737461,3.462442305,80.54839354,63.00180812,0.588697621,8.265038966,0.950865742
Malta,MLT,14.41226232,94.07424927,95.41233063,43.89136887,50.5539093,24921.60368,9.608132811,37455.07059,25230.0,33.9062555,5.721,0.225942378,1.069855256,1.09375,31.96875,100.0000027,99.96464806,0.0,0.0,14.98393292,1.404050276,68.06554484,17.52219284,46.91708888,130.6231829,33.55852738,68.9138,54.2838102
North America,NAC,19.0802505,98.02135,98.5818,86.37098694,99.90708923,61453.13406,-3.670536125,61947.28117,,,18.54012805,-0.149489379,1.22152476,36.27094842,25.51121113,99.34347519,99.73649615,0.0,0.728783106,15.66144391,0.763365512,66.51627227,14.40347723,50.35110341,108.4499321,31.15467724,74.42523105,40.89365284
South Sudan,SSD,41.32777069,,,,,1535.706892,5.493416395,3020.948005,,42.24275855,80.385,0.261261401,,11.32565515,45.15260353,40.95092717,15.84481734,60.12719512,,,1.182759371,55.319458,3.352771307,80.76822704,,,,
Togo,TGO,41.63757649,61.84572983,52.06328964,13.06132984,8.119879723,570.9099672,5.742868453,1397.332402,640.0,10.25622457,60.939,1.79418667,37.51484194,22.61426733,70.2334988,66.01351042,17.28824398,47.00893459,10.36850414,7.04132499,2.479331291,55.51219631,2.850227201,80.14059832,78.84556082,0.656623637,12.36022497,0.469066987
South Africa,ZAF,29.07948915,100.5111694,103.9680862,23.80195999,28.31438065,8007.476439,3.284168142,12172.41141,6990.0,20.57114069,33.645,-0.126111714,2.176019651,14.11510275,79.41785028,93.10863459,76.68318836,0.973660513,3.598190357,14.3327758,1.363703216,65.60250585,5.318005005,52.43320287,159.9306644,1.915495359,62.4,5.788707805
Switzerland,CHE,14.87249468,102.4874268,100.1749496,59.56298828,60.32978821,91254.03476,1.920445985,57987.50203,82280.0,36.42494322,26.282,1.054660953,0.619280783,31.68106715,38.438416,100.0,99.89987358,0.0,0.009808545,22.39318327,0.933155889,66.69663819,18.43086713,49.9325805,131.1359393,46.31990051,89.68614767,42.09370274
Eritrea,ERI,,,,,,,,,,,,,,10.57326733,75.16831683,,,,,,,,,,,,,
Ethiopia,ETH,42.17504323,34.93946838,34.24991989,,,566.9264029,10.25749296,1513.703236,550.0,20.53588308,81.84,2.311665346,44.33094275,15.63261905,32.31287375,42.0700672,7.488374296,31.57458485,12.19036608,10.79656753,2.756111616,54.37154756,3.453409216,83.91972458,41.96106195,0.474039598,13.85517556,0.883262711
Fiji,FJI,29.30610623,,,,,3652.535933,2.954672422,7914.100926,3650.0,12.69312403,42.753,-0.429336621,14.89369763,62.39846743,,94.26798782,93.43985322,0.17712923,1.350101264,10.78758794,0.062057001,65.68400477,5.009889003,52.24408244,107.4858365,1.262349701,35.2,8.112794706
United Kingdom,GBR,17.5508438,93.76583099,94.13259888,59.14593124,67.496521,41048.34966,1.722385904,44149.99998,42940.0,16.03113632,17.898,-0.800019956,0.644709763,12.88223866,71.30244286,99.99999695,99.11718667,0.0,1.150654897,14.51452607,0.781506562,65.64102679,16.80812942,52.34374887,120.5248128,32.15914381,85.37999855,51.9390117
Equatorial Guinea,GNQ,36.7792243,,,,,19394.08066,0.415066302,33696.21649,13230.0,56.2566787,29.917,2.386555336,1.294248772,89.07586453,10.12477718,,,,,,3.407619459,60.83935324,2.381422467,64.3672963,,,,
Grenada,GRD,23.24108797,111.7527008,110.7073212,95.62065887,102.5308533,7291.74167,0.764976824,11116.74789,7060.0,,64.131,0.605515518,4.832211185,52.05882353,23.52941176,95.62865044,91.49389213,3.54109589,0.0,9.092093025,0.643471646,67.17397057,9.584941468,48.86655348,109.2774569,18.02662433,53.81,24.66628345
Honduras,HND,34.47556604,49.48023987,53.53746033,19.92110062,23.06303978,2302.204411,3.840079971,4823.395396,2060.0,8.187092587,47.457,0.566192441,14.2196558,58.56771829,29.40387881,92.74751203,78.0073178,8.226491148,2.260907563,5.842559426,1.76927099,61.29030709,4.234126868,63.15795035,86.26001037,1.762608802,19.08,5.888378754
Lao PDR,LAO,35.16490729,49.03110123,45.33874893,17.6678791,15.87804031,2542.489769,6.247960008,7775.131876,2450.0,,63.71,0.46175086,16.19763155,71.9042461,,71.76251698,61.7690765,31.95529277,12.11278345,13.15667603,1.516012622,61.10830425,3.726788455,63.6438868,66.72325212,0.117588094,10.74767619,6.98266592
Low income,LIC,43.84223993,40.47123,35.70117,9.035989761,6.816020012,785.6338741,3.639410734,2248.777075,804.0332327,,69.17241587,2.204014716,27.3272555,21.39639946,38.741163,51.48194757,26.77969372,27.09623563,13.55691412,9.379250144,2.615567868,54.16696024,3.23428629,85.72599802,39.76628454,0.153771832,4.602083127,1.739718153
North Macedonia,MKD,17.52184694,,,,,5468.126225,3.629123513,13368.19071,5200.0,13.08300687,42.037,-0.463967635,8.470386518,39.71015067,50.11895321,97.5252827,95.96583261,0.200587693,0.849102083,16.4283118,0.084330529,70.72121562,11.75693744,41.40027264,106.7906819,13.5858512,56.7,20.36456682
Netherlands,NLD,15.701658,,,,,46007.85292,2.191713719,52288.41508,46900.0,30.69922932,9.365,-4.283237572,1.766532032,10.86308286,53.90555391,99.99999929,97.68577085,0.0,,,0.553470993,64.26352061,20.03482139,55.60927671,124.9790486,43.91638292,91.33333333,28.81258757
Papua New Guinea,PNG,35.48596536,,,,,2679.346579,6.578356323,3966.77071,2860.0,,87.022,2.046060941,19.26001935,79.68512697,2.627743674,44.56676215,19.14928738,15.93365015,10.04662811,7.280763229,1.953700073,61.00460922,3.509425418,63.9220432,,,,
Central Europe and the Baltics,CEB,15.23712681,101.7115,101.2212,62.53382874,73.42337036,14153.74762,2.991158825,24969.92529,13563.75914,24.85413571,37.85932754,-0.301418515,2.884986112,34.32355844,46.93262058,99.7971323,95.53817044,0.0,0.590127279,15.0780657,-0.136450277,65.8099374,18.95293578,51.99911407,122.7660611,26.51130177,78.72948708,18.92705921
Curacao,CUW,20.22581499,,,,,19457.53152,-1.73976542,25475.48966,19100.0,,10.346,2.009246911,0.249933002,0.157657658,,99.43524853,98.88445021,0.325661903,0.0,14.3526089,0.829929595,65.96885355,13.80533146,51.58624951,132.2219136,22.98326411,,41.25386747
Early-demographic dividend,EAR,28.56626985,74.8815,75.65375,31.64653969,33.19234085,3378.604105,4.298364173,7957.142497,3409.222764,27.19511651,54.45919457,0.531111302,9.646186417,22.8435833,,89.78381672,71.62594592,10.98833239,4.241018063,12.34660213,1.289165767,65.46431938,5.969410767,53.15051052,98.31113184,4.510423378,44.28911896,5.272022768
Spain,ESP,14.94496248,120.9332504,121.802269,80.0379715,88.74741364,28324.42934,-2.959441302,31720.12,29520.0,20.50084424,21.327,-0.721967135,2.373272994,37.10192046,54.04096983,100.0,99.90394867,0.0,0.066214183,15.7522287,0.355338396,67.72598007,17.32905745,47.65382641,111.6945012,23.71878361,67.08999939,42.24139117
Jordan,JOR,36.46593476,69.13018036,70.33334351,,,3910.346894,2.429358001,9189.189214,3720.0,3.628586212,10.0,-3.801544695,3.968444574,1.09822032,11.98468123,99.01953349,97.55303393,0.114264144,1.202610025,7.358691279,4.586585111,59.82320771,3.710857525,67.15922051,124.370646,3.944273844,46.2,4.210003826
